1 3 3 3 3 6 3 3 3 3 1 
1 3 3 3 3 96 3 3 3 3 1 
1 3 3 3 3 0 3 3 3 3 1 
1 3 3 3 3 0 3 3 3 3 1 
1 3 3 3 3 0 3 3 3 3 1 
1 3 3 3 3 0 3 3 3 3 1 
1 1 3 3 3 0 3 3 3 1 1 
1 1 1 1 1 0 1 1 1 1 1 
2 1 2 1 101 0 0 1 2 1 2 
2 2 2 2 2 0 2 2 2 2 2 
2 2 2 2 2 97 2 2 2 2 2 

1 3 3 3 3 7 3 3 3 3 1 
1 3 3 3 3 97 3 3 3 3 1 
1 3 3 3 3 0 3 3 3 3 1 
1 3 3 3 3 0 3 3 3 3 1 
1 3 3 3 3 0 3 3 3 3 1 
1 3 3 3 3 0 3 3 3 3 1 
1 1 3 3 3 0 3 3 3 1 1 
1 1 1 1 1 0 1 1 1 1 1 
2 1 2 1 201 0 102 1 2 1 2 
2 2 2 2 2 96 2 2 2 2 2 
2 2 2 2 2 6 2 2 2 2 2 

1 3 3 3 3 6 3 3 3 3 1 
1 3 3 3 3 96 3 3 3 3 1 
1 3 3 3 3 5 3 3 3 3 1 
1 3 3 3 3 202 3 3 3 3 1 
1 3 3 3 3 0 3 3 3 3 1 
1 3 3 3 3 0 3 3 3 3 1 
1 1 3 3 3 0 3 3 3 1 1 
1 1 1 1 1 0 1 1 1 1 1 
2 1 2 1 304 0 303 1 2 1 2 
2 2 2 2 2 97 2 2 2 2 2 
2 2 2 2 2 7 2 2 2 2 2 

1 3 3 3 3 7 3 3 3 3 1 
1 3 3 3 3 97 3 3 3 3 1 
1 3 3 3 3 0 3 3 3 3 1 
1 3 3 3 3 0 3 3 3 3 1 
1 3 3 3 3 0 3 3 3 3 1 
1 3 3 3 3 0 3 3 3 3 1 
1 1 3 3 3 0 3 3 3 1 1 
1 1 1 1 1 0 1 1 1 1 1 
2 1 2 1 0 0 0 1 2 1 2 
2 2 2 2 2 0 2 2 2 2 2 
2 2 2 2 2 203 2 2 2 2 2 

